iter	Logloss
0	0.6876208357
1	0.6822252883
2	0.6777585412
3	0.6733361673
4	0.6689830668
5	0.6641717912
6	0.6594136557
7	0.6547086229
8	0.6500597728
9	0.6446370431
10	0.6402031922
11	0.634745747
12	0.630413948
13	0.6267956764
14	0.6237138773
15	0.6200947582
16	0.6171072081
17	0.6137478713
18	0.6099942433
19	0.6066291553
20	0.6033562033
21	0.6002540723
22	0.5962627199
23	0.5930850053
24	0.5906108542
25	0.5865202283
26	0.5838743854
27	0.5816296194
28	0.5793309857
29	0.5765191139
30	0.5743256214
31	0.5710549295
32	0.5686283906
33	0.5655310343
34	0.5635358326
35	0.5606950018
36	0.5579374202
37	0.5556198864
38	0.5533086298
39	0.5514004929
40	0.5476416491
41	0.5460649407
42	0.543670949
43	0.5418974533
44	0.5392801725
45	0.5375175305
46	0.5359221555
47	0.5336165596
48	0.5315974852
49	0.5294885313
50	0.5279297195
51	0.5264614422
52	0.5251380939
53	0.5236997248
54	0.5206020076
55	0.5188507633
56	0.5168814361
57	0.515546009
58	0.5133206063
59	0.5107479685
60	0.5095934848
61	0.5080335248
62	0.5066384199
63	0.5056821225
64	0.5030157757
65	0.5020542498
66	0.5004786537
67	0.4991493595
68	0.4977541148
69	0.4953945987
70	0.4940744772
71	0.4919532982
72	0.490935708
73	0.4895551844
74	0.4877192032
75	0.4867343227
76	0.4850423221
77	0.4838469049
78	0.4830204108
79	0.4822257026
80	0.481180536
81	0.4799966717
82	0.4792469512
83	0.4786015785
84	0.4779418742
85	0.4754028738
86	0.4745862174
87	0.4731858632
88	0.4722195787
89	0.4702290325
90	0.4689626306
91	0.4680591377
92	0.4669400512
93	0.4652705549
94	0.4629465603
95	0.4616207569
96	0.4604831652
97	0.4594426367
98	0.4580745971
99	0.4573802255
100	0.4567684816
101	0.4563033626
102	0.4552695776
103	0.4541920636
104	0.4532627036
105	0.4510167969
106	0.4504344358
107	0.4495417611
108	0.4489791655
109	0.4480832451
110	0.4470655977
111	0.4459538584
112	0.4439999801
113	0.4435597205
114	0.4429303796
115	0.4422837566
116	0.4414163259
117	0.440958566
118	0.4401134912
119	0.4391316199
120	0.4379318773
121	0.4364209834
122	0.4358290332
123	0.4351071445
124	0.4343071516
125	0.433959649
126	0.4334767497
127	0.4320707772
128	0.430856415
129	0.4303112732
130	0.4292874315
131	0.4285745019
132	0.4278044903
133	0.4269727199
134	0.4262838922
135	0.4258792277
136	0.4240866897
137	0.4236672439
138	0.4229783279
139	0.4222303737
140	0.4217947027
141	0.4213016111
142	0.4209697486
143	0.419344239
144	0.4189560704
145	0.4180537521
146	0.4167135803
147	0.415224013
148	0.4146051623
149	0.4130415361
150	0.4127068988
151	0.4122624379
152	0.4119854497
153	0.4115192207
154	0.4109443838
155	0.4101155963
156	0.4093444519
157	0.4087338343
158	0.4083336865
159	0.4076815756
160	0.4072487307
161	0.4070124651
162	0.4064496276
163	0.4058495396
164	0.4051342459
165	0.4045915264
166	0.4043848841
167	0.4038161792
168	0.4033206108
169	0.4026583714
170	0.402347503
171	0.4019943414
172	0.4011676505
173	0.4007172707
174	0.4004242464
175	0.3999959623
176	0.3994232826
177	0.3989900049
178	0.3987750639
179	0.3980687234
180	0.3973249229
181	0.3966361319
182	0.3959496513
183	0.3956105966
184	0.394833581
185	0.3938298966
186	0.3933894301
187	0.3925293555
188	0.3921803329
189	0.3911640893
190	0.3905540113
191	0.3902478078
192	0.3892857888
193	0.3887654891
194	0.3882558822
195	0.3877955512
196	0.3872147403
197	0.3868007625
198	0.3864013383
199	0.3858661104
