iter	Passed	Remaining
0	79	15759
1	157	15611
2	231	15218
3	305	14987
4	378	14771
5	447	14485
6	519	14322
7	595	14295
8	668	14184
9	741	14094
10	822	14132
11	894	14016
12	970	13957
13	1055	14027
14	1142	14087
15	1311	15077
16	1398	15059
17	1482	14987
18	1553	14802
19	1628	14659
20	1699	14486
21	1773	14349
22	1842	14180
23	1919	14073
24	1988	13922
25	2068	13843
26	2139	13709
27	2210	13576
28	2278	13437
29	2355	13346
30	2422	13208
31	2498	13116
32	2571	13013
33	2643	12906
34	2712	12789
35	2789	12706
36	2863	12613
37	2934	12510
38	3006	12411
39	3082	12329
40	3154	12232
41	3227	12139
42	3300	12049
43	3376	11972
44	3456	11906
45	3542	11860
46	3617	11775
47	3693	11696
48	3783	11657
49	3855	11567
50	3934	11494
51	4005	11399
52	4080	11318
53	4160	11250
54	4239	11177
55	4326	11124
56	4411	11067
57	4492	10998
58	4582	10951
59	4675	10908
60	4768	10865
61	4847	10790
62	4927	10714
63	5013	10654
64	5097	10588
65	5177	10511
66	5259	10439
67	5333	10354
68	5410	10272
69	5504	10222
70	5598	10171
71	5677	10093
72	5761	10024
73	5837	9938
74	5907	9846
75	5983	9763
76	6072	9699
77	6145	9612
78	6224	9534
79	6296	9444
80	6367	9354
81	6439	9266
82	6522	9195
83	6593	9105
84	6669	9023
85	6761	8963
86	6838	8882
87	6912	8797
88	6987	8714
89	7064	8634
90	7137	8549
91	7205	8459
92	7277	8372
93	7347	8285
94	7422	8203
95	7499	8124
96	7579	8048
97	7672	7985
98	7772	7929
99	7891	7891
100	7995	7836
101	8075	7758
102	8146	7671
103	8219	7587
104	8293	7503
105	8379	7431
106	8454	7348
107	8531	7267
108	8601	7180
109	8672	7095
110	8749	7015
111	8825	6934
112	8897	6850
113	8968	6765
114	9044	6684
115	9121	6605
116	9199	6526
117	9272	6443
118	9353	6366
119	9425	6283
120	9495	6199
121	9569	6118
122	9652	6042
123	9754	5978
124	9829	5897
125	9901	5815
126	9981	5737
127	10066	5662
128	10146	5584
129	10223	5505
130	10299	5424
131	10371	5342
132	10445	5262
133	10514	5178
134	10589	5098
135	10661	5017
136	10735	4936
137	10806	4855
138	10877	4773
139	10944	4690
140	11013	4608
141	11084	4527
142	11153	4445
143	11229	4367
144	11304	4287
145	11378	4208
146	11450	4128
147	11531	4051
148	11601	3971
149	11675	3891
150	11763	3817
151	11842	3739
152	11916	3660
153	11990	3581
154	12067	3503
155	12137	3423
156	12208	3343
157	12274	3262
158	12346	3183
159	12421	3105
160	12487	3025
161	12560	2946
162	12634	2867
163	12706	2789
164	12782	2711
165	12848	2631
166	12919	2552
167	12995	2475
168	13065	2396
169	13137	2318
170	13210	2240
171	13286	2162
172	13358	2084
173	13432	2007
174	13499	1928
175	13575	1851
176	13647	1773
177	13730	1697
178	13832	1622
179	13930	1547
180	14005	1470
181	14080	1392
182	14161	1315
183	14231	1237
184	14301	1159
185	14370	1081
186	14438	1003
187	14511	926
188	14583	848
189	14661	771
190	14740	694
191	14808	617
192	14882	539
193	14956	462
194	15031	385
195	15101	308
196	15171	231
197	15239	153
198	15312	76
199	15378	0
